name,prefecture,city,website,url,rating,review_count,latitude,longitude,place_id,registered_date
JONAI SQUARE,Saga,佐賀市,,,4.0,219,33.2466325,130.3006157,ChIJLd1yfHvKQTURMggLu3nNsBA,2024-05-16
ベトナム料理店 KIKIMAIMAI,Saga,久留米市,,,4.3,32,33.3130607,130.520007,ChIJUYfDt3SlQTURDZNLx1r3nv8,2024-05-16
333 Sài Gòn バーバーバーサイゴン,Saga,大野城市,,,4.5,75,33.5389061,130.4747073,ChIJY3DFO0ibQTURIzjD1p3oYMo,2024-05-16
ベトナムごはんNe'-ne,Saga,久留米市,,,4.3,43,33.3136439,130.5173729,ChIJrXTszlakQTURAp6aH2ZT48s,2024-05-16
コニーズバインミー Conny’s Banhmi,Kumamoto,熊本市,,,4.5,33,32.7767151,130.7620104,ChIJqVpXZX_zQDURbVNT4-gX-5w,2024-05-16
ベトナム料理 37レストラン Nhà Hàng 37,Saga,鳥栖市,,,4.0,8,33.3734673,130.5136184,ChIJHbILeqqjQTUR2eLkjd3rPAI,2024-05-16
KIKI−MAIMAI,Nagasaki,N/A,,,4.4,144,32.7434423,129.8803759,ChIJzTaxWkBTFTUR-8T_hWtGeYk,2024-05-16
サンドイッチ MAYUMI,Nagasaki,N/A,,,4.0,30,32.7486117,129.8721591,ChIJQzGwFDxTFTUR4m7Mqrkai1A,2024-05-16
ベトナム料理 KIKI−MAIMAI野母崎店,Nagasaki,長崎市,,,0.0,0,32.5913307,129.7580429,ChIJH9_spFhFFTUREGjxGENn0eM,2024-05-16
シンチャオフード,Nagasaki,諫早市,,,4.2,19,32.8462643,130.0550171,ChIJK-MwI8tTFTUR1uAF9je7pY8,2024-05-16
ワンハンドサンドイッチ,Nagasaki,大村市,,,4.5,61,32.9440157,129.939728,ChIJGdLKqCCnajUR7aZdb3cuL8A,2024-05-16
メコンフード Tạp Hóa Miền Tây,Saga,熊本市,,,3.9,36,32.8012237,130.7095843,ChIJ_0ph2vT1QDURDeTtOeq9Flc,2024-05-16
PHO LY QUOC SU KUMAMOTO(フォーリーコックス熊本),Kumamoto,熊本市,,,4.0,108,32.8025101,130.7096535,ChIJTVuJ1K71QDURVk2i2Tn0fM0,2024-05-16
Sài Gòn Phố ( サイゴン フォ ),Kumamoto,熊本市,,,4.4,16,32.8251491,130.7073925,ChIJqwY6eEL3QDURsP308e_eAD8,2024-05-16
上乃裏 Asian bistro 333 (バーバーバー),Kumamoto,熊本市,,,4.0,109,32.8064787,130.7131736,ChIJh597YAj0QDURAbTbQbGuZqo,2024-05-16
POMBO,Kumamoto,N/A,,,4.5,35,32.7972084,130.720708,ChIJS95-YCbzQDUR7ywORdgmAVg,2024-05-16
TATOMIYA EZUKO,Kumamoto,熊本市,,,4.1,192,32.7805863,130.7376862,ChIJCwGtIgb0QDURS3gQbXU6wJE,2024-05-16
パンとアジア マハリク,Kumamoto,熊本市,,,4.3,44,32.7984891,130.727479,ChIJh5qsQWbzQDURtNDVoGs2F-g,2024-05-16
COMMUNE6,Kumamoto,熊本市,,,4.3,65,32.8152671,130.7880986,ChIJm5_Zl9rxQDURRkhHABYsLac,2024-05-16
KOKO BAHN MI,Kumamoto,N/A,,,4.6,14,32.7972084,130.720708,ChIJ5zDw-An1QDURYB2lgJR0z78,2024-05-16
Quán Phở 18 Oita（フォー・エイティーン）,Oita,大分市,,,4.2,60,33.2371612,131.6097972,ChIJRa4Oba2fRjURXgXYCIiu5HE,2024-05-16
ベトナムキッチン COMDIA,Oita,別府市,,,4.5,80,33.2776979,131.5030221,ChIJj3BaxMKmRjURXlB-KhgFGns,2024-05-16
スパイス食堂 クーポノス,Oita,別府市,,,4.3,164,33.2732825,131.5033517,ChIJAxo4hMGmRjUR4rdRkHgDkts,2024-05-16
コムディア,Oita,別府市,,,5.0,1,33.2777074,131.5028897,ChIJzwE7xMKmRjURVPKD9B1O6G4,2024-05-16
Tiệm 12 • Oita,Oita,大分市,,,4.6,12,33.2378839,131.6008645,ChIJySJ0nhShRjUR8yYCWYxvMSw,2024-05-16
ベトナムカフェ&食材店 Ong dia (オンディア),Miyazaki,宮崎市,,,4.5,13,31.8949688,131.4211667,ChIJ09zWmJK3ODURKcaAEg_THno,2024-05-16
ベトナム料理店 CAM ON[カム オン],Miyazaki,N/A,,,4.6,60,31.9306154,131.4606495,ChIJzVXmgTa7ODURGM1uZfdh4xk,2024-05-16
HANH PHUC QUAN ハン フク クアン,Miyazaki,宮崎市,,,4.5,43,31.9135452,131.4298907,ChIJ__-7n0K3ODURC0Hlifhe6jI,2024-05-16
SUMOMO BUNS,Miyazaki,宮崎市,,,3.6,7,31.9140174,131.423407,ChIJmR6wWXy3ODUR9cfMnyaDeIM,2024-05-16
INOHOI MEAT STUDIO（イノホイミートスタジオ）,Miyazaki,宮崎市,,,5.0,3,31.9232147,131.4112198,ChIJz2ImAQW3ODURIRkPUiJiuFs,2024-05-16
一ツ葉ミヤチク,Miyazaki,宮崎市,,,4.4,1155,31.920661,131.459506,ChIJgSkOUPK5ODURPeeRzN1Umc8,2024-05-16
Bon Delice,Miyazaki,宮崎市,,,4.0,582,31.7980148,131.4686532,ChIJBcYX9E7GODURecQnh6MF_oQ,2024-05-16
Food Truck B,Miyazaki,宮崎市,,,4.8,36,31.797994,131.4684876,ChIJ1TEKu63HODUR_4gderhdHhI,2024-05-16
ベトナム料理 香香 （しゃんしゃん）,Kagoshima,鹿児島市,,,4.5,35,31.5865832,130.543027,ChIJWaB2ZVxnPjURdMJGdyfSabY,2024-05-16
Non La Vietnamese Kitchen,Kagoshima,鹿児島市,,,4.6,11,31.5887638,130.5458927,ChIJ7ycsa_NnPjURkryNVft50bE,2024-05-16
