name,prefecture,city,url,rating,review_count,latitude,longitude,category,description,query_used
バインミー☆サンドイッチ,Tokyo,Shinjuku City,https://twitter.com/banhmi_sandwich,4.3,634,35.7132389,139.7031536,"restaurant, point_of_interest, food, establishment","Small & casual shop serving Vietnamese-style sandwiches with fillings like pork, chicken & shrimp.",バインミー
バインミーバーバー中目黒,Tokyo,Meguro City,https://banhmibaba-nakameguro.com/,4.5,117,35.6429091,139.6987712,"cafe, restaurant, food, point_of_interest, establishment",,バインミー
バインミーバイミー,Tokyo,Suginami City,https://www.instagram.com/banhmi.byme,4.8,58,35.70508770000001,139.6469223,"restaurant, food, point_of_interest, establishment",,バインミー
ローアンプラー,Niigata,Niigata,https://instagram.com/rouannpular?igshid=YmMyMTA2M2Y=,4.3,48,37.7972236,139.1220556,"restaurant, point_of_interest, food, establishment",,バインミー
バインミー シンチャオ イオンモール太田,Gunma,Ota,https://banhmixinchao.co.jp/,4.3,36,36.29337599999999,139.3990887,"restaurant, point_of_interest, food, establishment",,バインミー
バインミーバイミー,Tokyo,Suginami City,https://www.instagram.com/banhmi.byme,4.8,58,35.70508770000001,139.6469223,"restaurant, food, point_of_interest, establishment",,banh mi
バインミーサンドイッチ神保町店,Tokyo,Chiyoda City,,4.6,59,35.6960762,139.7562785,"restaurant, point_of_interest, food, establishment",,banh mi
バインミー☆サンドイッチ,Tokyo,Shinjuku City,https://twitter.com/banhmi_sandwich,4.3,634,35.7132389,139.7031536,"restaurant, food, point_of_interest, establishment","Small & casual shop serving Vietnamese-style sandwiches with fillings like pork, chicken & shrimp.",banh mi
バインミーシンチャオ,Tokyo,Shinjuku City,https://www.facebook.com/B%C3%A1nh-M%C3%AC-Xin-Ch%C3%A0o-1068932589815886/?ref=settings,4.2,449,35.7126653,139.7005539,"restaurant, food, point_of_interest, establishment","Hole-in-the-wall venue for banh mi sandwiches & Vietnamese iced coffee, plus smoothies & juices.",banh mi
スタンドバインミー,Tokyo,Meguro City,https://www.instagram.com/standbanhmi/,4.3,263,35.628886,139.6877641,"restaurant, food, point_of_interest, establishment",,banh mi
EBISU BANH MI BAKERY,Tokyo,Shibuya City,http://ebis-banhmi.com/,4.4,415,35.6479071,139.7102118,"meal_takeaway, bakery, store, restaurant, food, point_of_interest, establishment",,banh mi
バインミー ウィン,Osaka,Osaka,https://banhmiwin.com/,4.6,236,34.7047462,135.5221031,"restaurant, food, point_of_interest, establishment",,banh mi
ベト屋 築地店,Tokyo,Chuo City,https://betoya.jp/store/tsukiji/,4.3,233,35.6676442,139.7723177,"restaurant, food, point_of_interest, establishment",,banh mi
BANH MI XIN CHAO CAFE ASAKUSA バインミーシンチャオカフェ 浅草,Tokyo,Taito City,http://banhmixinchao.co.jp/,4.3,409,35.7101788,139.7978598,"restaurant, food, point_of_interest, establishment",,banh mi
BANH MI XIN CHAO NAGOYA,Aichi,Nagoya,,4.1,172,35.1722409,136.9115925,"restaurant, point_of_interest, food, establishment",,banh mi
FOODVn - X3,Ishikawa,Kanazawa,https://www.nichichouju.com/,4.9,551,36.5802369,136.6473659,"restaurant, food, point_of_interest, establishment",,banh mi
ホア セン レストラン,Hokkaido,Sapporo,https://hoasen-sapporo.owst.jp/,4.6,190,43.0516513,141.3545714,"restaurant, point_of_interest, food, establishment",,banh mi
Soc Con Fast Food バインミー リスちゃん,Tokyo,Shinjuku City,https://instagram.com/rischangbanhmi?igshid=YmMyMTA2M2Y=,4.4,57,35.701749,139.6979722,"restaurant, food, point_of_interest, establishment",,banh mi
Ăn gì ? (アンジー?),Hokkaido,Sapporo,https://instagram.com/angi_vietnam333?igshid=NTc4MTIwNjQ2YQ==,4.1,20,43.0825718,141.346616,"restaurant, food, point_of_interest, establishment",,banh mi
ジューシー バインミー,Aichi,Nagoya,https://www.banhmi.xyz/,4.6,196,35.1939362,136.9419838,"cafe, bakery, store, restaurant, food, point_of_interest, establishment","Hearty housemade sandwiches, desserts & coffees served in an unpretentious Vietnamese cafe.",banh mi
BANH MI XIN CHAO SHINSAIBASHI バインミーシンチャオ心斎橋店,Osaka,Osaka,http://banhmixinchao.co.jp/,4.1,197,34.6742769,135.50194,"meal_takeaway, restaurant, point_of_interest, food, establishment",,banh mi
90年代美味南ベトナム料理 PHUONG NAM (フーンナム),Tokyo,Minato City,https://phuongnam.gorp.jp/,4.1,254,35.6648376,139.7329885,"liquor_store, store, restaurant, food, point_of_interest, establishment",,banh mi
タン・ハー,Kanagawa,Yokohama,,4.4,602,35.42987060000001,139.4755859,"restaurant, point_of_interest, food, establishment",,banh mi
THE PIG ＆ THE LADY,Tokyo,Shibuya City,https://thepigandthelady.jp/,4.1,467,35.6463875,139.7089094,"restaurant, food, point_of_interest, establishment",,banh mi
いいな ベトナム料理,Chiba,Chiba,http://2ndbrain.co.jp/,4.3,111,35.6367797,140.0910947,"restaurant, point_of_interest, food, establishment",,banh mi
アンディー,Tokyo,Setagaya City,http://www.andi-setagaya.com/,4.3,151,35.6348202,139.6121113,"restaurant, food, point_of_interest, establishment",Quaint counter-serve Vietnamese cafe specializing in banh mi sandwiches & coffee.,banh mi
ゴン クアン ベトナムレストラン,Chiba,Yachiyo,,3.8,57,35.7002176,140.0899262,"restaurant, food, point_of_interest, establishment",,banh mi
ベトナム料理アオババ水戸店,Ibaraki,Mito,https://instagram.com/aobabamito?utm_medium=copy_link,4.2,170,36.3753381,140.4733891,"restaurant, food, point_of_interest, establishment",,banh mi
ベトナムダイニング ジャディンGIA ĐÌNH一号店,Tochigi,Utsunomiya,https://gia-dinh.jp/,4.4,79,36.5602965,139.8872367,"restaurant, food, point_of_interest, establishment",,banh mi
ベトナム居酒屋ニャウ Nhau Thien An,Saitama,Kawaguchi,,3.7,97,35.8159609,139.7048484,"meal_takeaway, restaurant, food, point_of_interest, establishment",,banh mi
アンゴン,Osaka,Osaka,https://www.instagram.com/anngon.1998/,4.4,635,34.676695,135.498163,"restaurant, food, point_of_interest, establishment","Vietnamese joint serving pho, banh mi  & other classic fare in a cozy space with a bamboo ceiling.",banh mi
Chè 333（チェー・バーバーバー）,Tokyo,Meguro City,https://che333.jp/,3.3,11,35.6289212,139.6833796,"cafe, restaurant, food, store, point_of_interest, establishment",,banh mi
ベトナム料理★Cafe Hasuna 浜松葵西店,Shizuoka,Hamamatsu,https://banhmi-hasuna.com/,4.3,217,34.7680349,137.7069614,"cafe, restaurant, food, point_of_interest, establishment",,banh mi
イエローバンブー 飯野ビル店,Tokyo,Chiyoda City,http://yellow-bamboo.com/,3.9,128,35.6705739,139.7528972,"restaurant, food, point_of_interest, establishment",,banh mi
Phuoc Thanh,Victoria,Melbourne,,4,58,-37.8121011,144.9642567,"restaurant, food, point_of_interest, establishment",,banh mi
Bánh Mì Boy,Florida,Orlando,,4.5,46,28.5530146,-81.36518219999999,"restaurant, food, point_of_interest, establishment",,banh mi
Bánh Mì Chị Tôi | My Sister’s Sandwich Café,Massachusetts,Boston,https://banhmichitoi.com/,4.8,76,42.2978106,-71.060633,"bakery, restaurant, food, store, point_of_interest, establishment",,banh mi
Nom Nam,New York,New York,http://www.nomnamnyc.com/,4.8,198,40.7453564,-73.9776292,"restaurant, food, point_of_interest, establishment",,banh mi
Paris Banh Mi,Idaho,Meridian,https://www.parisbanhmimeridian.com/,4.8,400,43.6184863,-116.3662274,"cafe, restaurant, food, point_of_interest, establishment",,banh mi
サイゴン シャック,New York,New York,http://saigonshack.com/,4.4,2648,40.729705,-74.0006397,"restaurant, food, point_of_interest, establishment","Vietnamese eats provider where pho & banh mi are popular, as are sweet potato fries & Thai coffee.",banh mi
Mê Bánh Mì Parramatta,New South Wales,Parramatta,https://www.mebanhmi.cafe/,4.6,68,-33.8137651,151.0050889,"restaurant, food, point_of_interest, establishment",,banh mi
Banh Mi Paris Express,California,Chula Vista,https://www.banhmipx.com/,4.9,39,32.6405926,-117.0937271,"restaurant, food, point_of_interest, establishment",,banh mi
Le’s Banh Mi,Hawaii,Honolulu,https://instagram.com/les_banhmi?igshid=YmMyMTA2M2Y=,4.9,105,21.2967649,-157.8423428,"restaurant, food, point_of_interest, establishment",,banh mi
バインミー☆ サンドイッチ,Tokyo,Shibuya City,https://www.instagram.com/banhmi_sandwich_takadanobaba/,4.4,20,35.6683371,139.7048337,"restaurant, food, point_of_interest, establishment",,banhmi
バインミーバイミー,Tokyo,Suginami City,https://www.instagram.com/banhmi.byme,4.8,58,35.70508770000001,139.6469223,"restaurant, food, point_of_interest, establishment",,banhmi
バインミー☆サンドイッチ,Tokyo,Shinjuku City,https://twitter.com/banhmi_sandwich,4.3,634,35.7132389,139.7031536,"restaurant, food, point_of_interest, establishment","Small & casual shop serving Vietnamese-style sandwiches with fillings like pork, chicken & shrimp.",banhmi
BANH MI NGON NGON TAKADANOBABA,Tokyo,Shinjuku City,,4.1,283,35.7124601,139.7003927,"restaurant, food, point_of_interest, establishment",,banhmi
バインミー サイゴンフレッシュ 本店,Hokkaido,Sapporo,https://saigonfresh.jp/,4.5,148,43.0573518,141.339118,"meal_takeaway, restaurant, food, point_of_interest, establishment",,banhmi
スタンドバインミー,Tokyo,Meguro City,https://www.instagram.com/standbanhmi/,4.3,263,35.628886,139.6877641,"restaurant, food, point_of_interest, establishment",,banhmi
バインミー☆サンドイッチ 水道橋東口店,Tokyo,Chiyoda City,https://www.facebook.com/BanhmiSuidobashi-101056862182378/,4.3,270,35.7013156,139.7556301,"restaurant, point_of_interest, food, establishment",,banhmi
バインミーシンチャオ,Tokyo,Shinjuku City,https://www.facebook.com/B%C3%A1nh-M%C3%AC-Xin-Ch%C3%A0o-1068932589815886/?ref=settings,4.2,449,35.7126653,139.7005539,"restaurant, food, point_of_interest, establishment","Hole-in-the-wall venue for banh mi sandwiches & Vietnamese iced coffee, plus smoothies & juices.",banhmi
バインミー ウィン,Osaka,Osaka,https://banhmiwin.com/,4.6,236,34.7047462,135.5221031,"restaurant, food, point_of_interest, establishment",,banhmi
EBISU BANH MI BAKERY,Tokyo,Shibuya City,http://ebis-banhmi.com/,4.4,415,35.6479071,139.7102118,"meal_takeaway, bakery, restaurant, food, point_of_interest, store, establishment",,banhmi
BANH MI XIN CHAO CAFE ASAKUSA バインミーシンチャオカフェ 浅草,Tokyo,Taito City,http://banhmixinchao.co.jp/,4.3,409,35.7101788,139.7978598,"restaurant, food, point_of_interest, establishment",,banhmi
バインミーゴンゴン船橋,Chiba,Funabashi,https://www.facebook.com/Shinjuku.BanhMiNgonNgon/,4.2,107,35.7011647,139.9882478,"restaurant, food, point_of_interest, establishment",,banhmi
